# frame	seconds	right_knee	left_knee
0	0.0	71.66	118.71
0	0.0	71.35	117.1
0	0.0	77.47	122.1
0	0.0	84.6	127.44
0	0.0	90.68	132.5
0	0.0	94.94	137.77
0	0.0	100.08	141.57
0	0.0	101.28	142.39
0	0.0	105.56	144.01
0	0.0	110.17	146.08
0	0.0	113.08	147.79
0	0.0	118.63	149.93
0	0.0	126.7	151.1
0	0.0	132.12	152.56
0	0.0	138.47	154.61
0	0.0	143.54	156.61
0	0.0	147.39	158.58
0	0.0	158.52	161.12
0	0.0	161.36	163.24
0	0.0	163.58	164.42
0	0.0	166.67	166.43
0	0.0	170.1	168.03
0	0.0	170.45	168.38
0	0.0	172.95	169.94
0	0.0	177.08	171.26
0	0.0	179.08	171.87
0	0.0	175.02	172.72
0	0.0	172.91	173.72
0	0.0	171.73	174.29
0	0.0	171.39	175.2
0	0.0	171.48	175.87
0	0.0	171.37	176.37
0	0.0	172.39	176.48
0	0.0	173.06	176.54
0	0.0	173.19	176.74
0	0.0	173.14	176.85
0	0.0	172.92	176.91
0	0.0	172.63	177.1
0	0.0	172.56	177.35
0	0.0	172.5	177.66
0	0.0	172.57	177.85
0	0.0	172.55	178.14
0	0.0	172.55	178.33
0	0.0	172.69	178.46
0	0.0	173.03	178.74
0	0.0	173.45	178.64
0	0.0	174.23	178.48
0	0.0	175.87	177.33
0	0.0	179.18	175.56
0	0.0	179.37	174.87
0	0.0	172.47	172.24
0	0.0	170.8	171.61
0	0.0	174.16	179.64
0	0.0	178.4	173.6
0	0.0	176.16	172.01
0	0.0	175.44	172.08
0	0.0	174.84	172.96
0	0.0	174.48	173.34
0	0.0	174.39	173.59
0	0.0	174.36	173.78
0	0.0	174.43	173.87
0	0.0	174.56	173.88
0	0.0	174.61	174.05
0	0.0	174.65	174.15
0	0.0	174.66	174.19
0	0.0	174.7	174.2
0	0.0	174.72	174.22
0	0.0	174.73	174.25
0	0.0	174.75	174.26
0	0.0	174.77	174.27
0	0.0	174.79	174.27
0	0.0	174.81	174.28
0	0.0	174.83	174.28
0	0.0	174.86	174.28
